Model,Predicted Second,Physics Loss Scalar,Epoch,Batch,Learning Rate,Experiment,Mean Deviation
PECNN,1,0,100,32,0.001,Experimentindex 0,31.337191430554704
PECNN,1,0,100,32,0.001,Experimentindex 1,44.71644227777939
PECNN,1,0,100,32,0.001,Experimentindex 2,105.82024785340074
PECNN,1,0,100,32,0.001,Experimentindex 3,67.10223224934231
PECNN,1,0,100,32,0.001,Experimentindex 4,82.42800920660703
PECNN,1,0,100,32,0.001,Experimentindex 5,45.918319098318975
PECNN,1,0,100,32,0.001,Experimentindex 6,65.98576462449427
PECNN,1,0,100,32,0.001,Experimentindex 7,67.19592333118146
PECNN,1,0,100,32,0.001,Experimentindex 8,71.4198193921562
PECNN,1,0,100,32,0.001,Experimentindex 9,84.44229494247517
PECNN,1,1,100,32,0.001,Experimentindex 0,25.575716804620996
PECNN,1,1,100,32,0.001,Experimentindex 1,32.437555848461564
PECNN,1,1,100,32,0.001,Experimentindex 2,64.12711964944256
PECNN,1,1,100,32,0.001,Experimentindex 3,43.514834765943846
PECNN,1,1,100,32,0.001,Experimentindex 4,54.81613942061071
PECNN,1,1,100,32,0.001,Experimentindex 5,33.71573272356599
PECNN,1,1,100,32,0.001,Experimentindex 6,45.31515528391901
PECNN,1,1,100,32,0.001,Experimentindex 7,44.083539599472296
PECNN,1,1,100,32,0.001,Experimentindex 8,46.23427638097627
PECNN,1,1,100,32,0.001,Experimentindex 9,54.11925027308618
PECNN,10,0,100,32,0.001,Experimentindex 0,48.83926773429177
PECNN,10,0,100,32,0.001,Experimentindex 1,100.42272809450401
PECNN,10,0,100,32,0.001,Experimentindex 2,319.4693857782715
PECNN,10,0,100,32,0.001,Experimentindex 3,176.60625529544868
PECNN,10,0,100,32,0.001,Experimentindex 4,160.64324800534496
PECNN,10,0,100,32,0.001,Experimentindex 5,102.54580977489537
PECNN,10,0,100,32,0.001,Experimentindex 6,173.16671775792284
PECNN,10,0,100,32,0.001,Experimentindex 7,182.75576725123943
PECNN,10,0,100,32,0.001,Experimentindex 8,202.3118129555964
PECNN,10,0,100,32,0.001,Experimentindex 9,199.36090648887523
PECNN,10,1,100,32,0.001,Experimentindex 0,39.9023087370132
PECNN,10,1,100,32,0.001,Experimentindex 1,83.57080354465539
PECNN,10,1,100,32,0.001,Experimentindex 2,279.09827044536553
PECNN,10,1,100,32,0.001,Experimentindex 3,158.79708239521997
PECNN,10,1,100,32,0.001,Experimentindex 4,137.37574470231414
PECNN,10,1,100,32,0.001,Experimentindex 5,80.21331138995521
PECNN,10,1,100,32,0.001,Experimentindex 6,144.74283780269005
PECNN,10,1,100,32,0.001,Experimentindex 7,155.89502297141559
PECNN,10,1,100,32,0.001,Experimentindex 8,175.71596446867258
PECNN,10,1,100,32,0.001,Experimentindex 9,175.3700870801713
PECNN,9,0,100,32,0.001,Experimentindex 0,38.946229632107375
PECNN,9,0,100,32,0.001,Experimentindex 1,87.34863825779976
PECNN,9,0,100,32,0.001,Experimentindex 2,290.7340456253456
PECNN,9,0,100,32,0.001,Experimentindex 3,163.47826700492493
PECNN,9,0,100,32,0.001,Experimentindex 4,143.25580443142945
PECNN,9,0,100,32,0.001,Experimentindex 5,86.01329540534574
PECNN,9,0,100,32,0.001,Experimentindex 6,150.11793173892553
PECNN,9,0,100,32,0.001,Experimentindex 7,163.71446011809354
PECNN,9,0,100,32,0.001,Experimentindex 8,181.223015450358
PECNN,9,0,100,32,0.001,Experimentindex 9,181.41895960858818
PECNN,2,0,100,32,0.001,Experimentindex 0,27.36232026299935
PECNN,2,0,100,32,0.001,Experimentindex 1,48.901357769606456
PECNN,2,0,100,32,0.001,Experimentindex 2,148.2113407927725
PECNN,2,0,100,32,0.001,Experimentindex 3,81.32024563294333
PECNN,2,0,100,32,0.001,Experimentindex 4,99.97344301752071
PECNN,2,0,100,32,0.001,Experimentindex 5,52.61317740015525
PECNN,2,0,100,32,0.001,Experimentindex 6,85.62345579576053
PECNN,2,0,100,32,0.001,Experimentindex 7,86.24151802542394
PECNN,2,0,100,32,0.001,Experimentindex 8,93.63006218559096
PECNN,2,0,100,32,0.001,Experimentindex 9,107.88868470179636
PECNN,2,1,50,32,0.001,Experimentindex 0,20.151781977204994
PECNN,2,1,50,32,0.001,Experimentindex 1,36.486880156055264
PECNN,2,1,50,32,0.001,Experimentindex 2,112.99221869453645
PECNN,2,1,50,32,0.001,Experimentindex 3,62.78315820922036
PECNN,2,1,50,32,0.001,Experimentindex 4,75.16591098685328
PECNN,2,1,50,32,0.001,Experimentindex 5,38.36878185171096
PECNN,2,1,50,32,0.001,Experimentindex 6,63.46442926056502
